Date,Open,High,Low,Close,Adj Close,Volume,TSX,TSX_Open,TSX_High,TSX_Low,TSX_Close,TSX_Adj Close,TSX_Volume
18-09-12,8.680000,8.950000,7.660000,8.250000,8.250000,15324700,,16093.299805,16096.099609,15993.599609,16049.000000,16049.000000,266571000
18-09-13,8.210000,8.330000,7.260000,7.490000,7.490000,10550600,,16059.200195,16071.200195,15987.200195,16001.700195,16001.700195,221711900
18-09-14,6.820000,7.900000,6.760000,7.700000,7.700000,8058500,,15990.299805,16032.500000,15981.000000,16013.500000,16013.500000,194435900
18-09-17,8.190000,8.280000,7.750000,8.260000,8.260000,5194200,,16046.500000,16118.000000,16045.299805,16082.299805,16082.299805,222709300
18-09-18,8.460000,8.840000,8.350000,8.730000,8.730000,7067000,,16120.799805,16198.700195,16091.500000,16196.000000,16196.000000,228914700
18-09-19,8.990000,9.090000,7.710000,8.100000,8.100000,13821900,,16206.799805,16230.000000,16149.900391,16149.900391,16149.900391,348868600
18-09-20,8.310000,8.620000,8.110000,8.490000,8.490000,6752000,,16210.000000,16225.299805,16147.099609,16214.799805,16214.799805,259244800
18-09-21,8.330000,8.450000,8.120000,8.440000,8.440000,3824200,,16235.099609,16267.700195,16211.000000,16224.099609,16224.099609,497537500
18-09-24,8.380000,8.540000,8.220000,8.390000,8.390000,2987400,,16244.500000,16276.799805,16198.700195,16207.299805,16207.299805,234911500
18-09-25,8.470000,8.550000,8.150000,8.250000,8.250000,3421000,,16269.200195,16300.700195,16159.500000,16159.500000,16159.500000,237368500
18-09-26,8.370000,8.430000,8.150000,8.430000,8.430000,5915300,,16166.700195,16241.400391,16146.900391,16169.299805,16169.299805,234652900
18-09-27,8.350000,8.380000,8.150000,8.170000,8.170000,2110100,,16195.400391,16262.799805,16193.000000,16204.599609,16204.599609,224428600
18-09-28,8.110000,8.850000,8.050000,8.750000,8.750000,4966600,,16167.400391,16177.500000,16063.700195,16073.099609,16073.099609,260484900
18-10-01,8.900000,9.040000,8.530000,8.820000,8.820000,4403400,,16152.299805,16193.099609,16069.700195,16104.400391,16104.400391,232645500
18-10-02,8.500000,8.620000,7.820000,8.110000,8.110000,5765800,,16086.299805,16086.299805,15987.099609,16017.200195,16017.200195,248211900
18-10-03,8.150000,8.260000,7.710000,8.000000,8.000000,4258200,,16069.500000,16082.299805,16006.200195,16072.099609,16072.099609,225949100
18-10-04,8.100000,8.470000,8.035000,8.450000,8.450000,4538400,,16057.299805,16057.700195,15928.200195,16006.700195,16006.700195,253042000
18-10-05,8.540000,8.590000,8.210000,8.470000,8.470000,3847200,,15986.599609,16028.000000,15895.500000,15946.200195,15946.200195,208165400
18-10-09,8.600000,8.800000,8.510000,8.640000,8.640000,4455500,,15891.299805,15917.799805,15853.900391,15854.099609,15854.099609,228171700
18-10-10,8.600000,8.780000,8.230000,8.400000,8.400000,5362200,,15830.200195,15830.200195,15511.799805,15517.400391,15517.400391,339860300
18-10-11,8.260000,8.590000,8.140000,8.270000,8.270000,4764100,,15416.799805,15482.299805,15317.099609,15317.099609,15317.099609,389019100
18-10-12,8.440000,8.590000,8.380000,8.490000,8.490000,3477900,,15464.000000,15470.900391,15317.700195,15414.299805,15414.299805,289282400
18-10-15,8.600000,8.970000,8.570000,8.950000,8.950000,6486000,,15441.400391,15476.299805,15398.500000,15409.500000,15409.500000,246963900
18-10-16,9.120000,9.290000,8.120000,8.230000,8.230000,13013200,,15456.900391,15579.700195,15399.500000,15579.700195,15579.700195,280525800
18-10-17,7.750000,8.320000,7.090000,7.740000,7.740000,10058700,,15548.799805,15556.599609,15452.700195,15529.900391,15529.900391,312769400
18-10-18,7.810000,8.140000,7.600000,7.660000,7.660000,4167100,,15486.400391,15513.599609,15380.700195,15404.099609,15404.099609,268976300
18-10-19,7.660000,7.720000,6.440000,6.710000,6.710000,11917300,,15478.599609,15579.799805,15466.500000,15470.099609,15470.099609,251480500
18-10-22,6.660000,7.060000,5.630000,5.820000,5.820000,15250200,,15488.099609,15492.900391,15364.099609,15412.700195,15412.700195,278747800
18-10-23,5.010000,6.320000,4.840000,5.850000,5.850000,18694700,,15244.900391,15323.200195,15094.700195,15285.200195,15285.200195,346691200
